,Unnamed: 0.1,Unnamed: 0,Tweets,Sentiment,Sarcasm_Col,Topic,Sarcasm_Aug
759,1739,2800,"""Wow, what a surprise! India just casually test fired a nuclear strategic ballistic missile AgniIV with a strike range of 4000 km. How exciting! #NotImpressed""",Negative,Sarcastic,Energy,"'India recently conducted a test of the Agni-IV nuclear strategic ballistic missile, which has a range of 4000 km. #Underwhelmed"
760,1742,2807,"  Very true. If we have peace on the Korean Peninsula and more amicable U.S.-North Korea relations, Pyongyang’s nuclear weapons would presumably have little use. We’d probably be ok either way though, because Kim isn’t a suicidal maniac stupid to use his nukes anyway.",Neutral,Sarcastic,Politics,"""It is accurate to say that if there is peace on the Korean Peninsula and improved relations between the U.S. and North Korea, the necessity of Pyongyang's nuclear weapons would likely diminish. In any case, it is unlikely that Kim Jong-un would choose to use his nuclear arsenal, as he is not considered to be a reckless or irrational leader."", role='assistant', function_call=None, tool_calls=None), content_filter_results={'hate': {'filtered': False, 'severity': 'safe'}, 'protected_material_code': {'filtered': False, 'detected': False}, 'protected_material_text': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}})], created=1739504041, model='gpt-3.5-turbo-0125', object='chat.completion', system_fingerprint='fp_0165350fbb', usage=CompletionUsage(completion_tokens=69, prompt_tokens=84, total_tokens=153), prompt_filter_results=[{'prompt_index': 0, 'content_filter_results': {'hate': {'filtered': False, 'severity': 'low'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'low'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'low'}}}], backend-counter='8')
"
761,1744,2811,"TechText: Iran steps up nuclear warhead work, Israel media report #Broadchrome",Neutral,Sarcastic,Politics,"'Iran is reportedly increasing its efforts to develop nuclear warheads, according to Israeli media sources. #Broadchrome"
762,1750,2822,#TeamFollowBack JERUSALEM (Reuters) - Iran's nuclear moves are becoming harder for Israeli and U.S.... #FF,Neutral,Sarcastic,General,"""Iran's nuclear actions are increasingly concerning for Israel and the United States."", role='assistant', function_call=None, tool_calls=None), content_filter_results={'hate': {'filtered': False, 'severity': 'safe'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}})], created=1739504045, model='gpt-3.5-turbo-0125', object='chat.completion', system_fingerprint='fp_0165350fbb', usage=CompletionUsage(completion_tokens=14, prompt_tokens=53, total_tokens=67), prompt_filter_results=[{'prompt_index': 0, 'content_filter_results': {'hate': {'filtered': False, 'severity': 'safe'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}}], backend-counter='8')
"
763,1752,2829,"""Wow, my groundbreaking paper on geo-politics and non-proliferation from the India-Pakistan Nuke Test of 1998. So original, right? #sarcasm""",Neutral,Sarcastic,Politics,'My paper on geo-politics and non-proliferation following the India-Pakistan nuclear tests of 1998 is a significant contribution. #academic
764,1754,2840,China Develops 4thGeneration Nuclear Sub China completed the development of its 4thgenera,Neutral,Sarcastic,General,'China has successfully developed its fourth-generation nuclear submarine.
765,1755,2843,Second robot sent into crippled Fukushima nuclear plant captures strange green glow.,Negative,Sarcastic,Politics,'Another robot was sent into the damaged Fukushima nuclear plant and observed an unusual green glow.
766,1758,2852,Good info RT South Korean and Chinese diplomats meet in Seoul 2 discuss nuclear threat from N Korea,Negative,Sarcastic,Politics,'Negative sentiment: South Korean and Chinese diplomats are meeting in Seoul to discuss the nuclear threat from North Korea.
767,1760,2857,Unlikely news teaser NYC hit by nuclear bomb millions dead Details at 1000,Negative,Sarcastic,Politics,"'Unlikely news alert: New York City has been struck by a nuclear bomb, resulting in millions of casualties. More information will be provided at 10:00."
768,1761,2858,Something very interesting. Photos of the world's most powerful laser.,Neutral,Sarcastic,General,"""Photos of the world's most powerful laser are quite fascinating."", role='assistant', function_call=None, tool_calls=None), content_filter_results={'hate': {'filtered': False, 'severity': 'safe'}, 'protected_material_code': {'filtered': False, 'detected': False}, 'protected_material_text': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}})], created=1739504058, model='gpt-3.5-turbo-0125', object='chat.completion', system_fingerprint='fp_0165350fbb', usage=CompletionUsage(completion_tokens=12, prompt_tokens=39, total_tokens=51), prompt_filter_results=[{'prompt_index': 0, 'content_filter_results': {'hate': {'filtered': False, 'severity': 'safe'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}}], backend-counter='8')
"
769,1762,2865,"""Welcome to the \""exciting\"" new era of nuclear weapons! Because who doesn't love the idea of uncharted waters when it comes to global security, right? Thanks, David Cooper, for pointing out the obvious. #natsec""",Neutral,Sarcastic,Politics,"'""Welcome to the new era of nuclear weapons. It is important to consider the implications for global security. Thank you, David Cooper, for bringing attention to this issue. #natsec"""
770,1763,2870,Personal nuclear reactors Very scary People still need a warning that coffee is hot,Negative,Sarcastic,Politics,'Personal nuclear reactors are quite concerning. It is still necessary to remind people that coffee is hot.
771,1765,2872,"""Oh great, we're all doomed. The nuclear site is going to blow us all to smithereens.""",Negative,Sarcastic,Energy,'We are in serious trouble. The nuclear site is going to explode and cause massive destruction.
772,1768,2876,I am TERRIFIED that trump is prez Little fingers on nuclear codes,Negative,Sarcastic,Politics,'I am extremely concerned that Trump is the president and has access to the nuclear codes.
773,1769,2877,"""Oh wow, 7-11 is really on top of their game selling Fallout 3 at midnight...tomorrow? And on PS2? Yeah, because that makes total sense. Can't wait to grab a post-nuclear Slurpee while I'm at it.""",Neutral,Sarcastic,General,"""7-11 is selling Fallout 3 at midnight, but it's for PS2 and not available until tomorrow."", role='assistant', function_call=None, tool_calls=None), content_filter_results={'hate': {'filtered': False, 'severity': 'safe'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}})], created=1739504069, model='gpt-3.5-turbo-0125', object='chat.completion', system_fingerprint='fp_0165350fbb', usage=CompletionUsage(completion_tokens=23, prompt_tokens=81, total_tokens=104), prompt_filter_results=[{'prompt_index': 0, 'content_filter_results': {'hate': {'filtered': False, 'severity': 'safe'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}}], backend-counter='8')
"
774,1770,2878,Heres another brilliant statement by Trump on nuclear weapons clearly showing his indepth understanding,Neutral,Sarcastic,Politics,"'Here is another statement made by Trump regarding nuclear weapons, showcasing his knowledge on the topic."
775,1771,2879,"""Wow, what a fantastic display of intelligence and rationality in the once-great country. It's truly impressive how the clowns are now in charge of the nuclear codes in this circus of a nation.""",Negative,Sarcastic,Politics,"'The display of intelligence and rationality in the country is lacking, as those in charge of the nuclear codes are being criticized."
776,1772,2881,"""Oh, sure, because inviting Rouhani to the Nuclear Security Summit is just what we need if there's a deal with Iran. Brilliant idea. #sarcasm""",Negative,Sarcastic,Politics,"""Inviting Rouhani to the Nuclear Security Summit is not a good idea if there's a deal with Iran."", role='assistant', function_call=None, tool_calls=None), content_filter_results={'hate': {'filtered': False, 'severity': 'safe'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}})], created=1739504076, model='gpt-3.5-turbo-0125', object='chat.completion', system_fingerprint='fp_0165350fbb', usage=CompletionUsage(completion_tokens=22, prompt_tokens=60, total_tokens=82), prompt_filter_results=[{'prompt_index': 0, 'content_filter_results': {'hate': {'filtered': False, 'severity': 'safe'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'low'}}}], backend-counter='8')
"
777,1777,2888,"""Oh great, just what we need - more demand for nuclear power driving up the price of uranium. Thanks a lot, world. #NotImpressed""",Negative,Sarcastic,Energy,"'The increasing demand for nuclear power is causing the price of uranium to rise, which is not appreciated."
778,1779,2893,"""Oh, great! Another strong earthquake decided to hit Japan, just 200 miles away from a nuclear power plant that's already had its fair share of disasters in 2011. What could possibly go wrong? #sarcasm""",Negative,Sarcastic,Energy,"'Another powerful earthquake has struck Japan, this time just 200 miles away from a nuclear power plant that has already experienced multiple disasters in 2011. The situation seems quite concerning."
779,1781,2896,"""So South Korea decided to turn off their nuclear reactors because of a few \""forced shutdowns and other problems.\"" Great job, guys! #sarcasm""",Negative,Sarcastic,Energy,'South Korea made the decision to shut down their nuclear reactors due to multiple forced shutdowns and issues.
780,1782,2898,"""Why don't they just send a little drone to check out what's going on at the nuclear power plant in Zaporija? I'm sure someone could explain it to me, right?""",Neutral,Sarcastic,Energy,"""Why don't they consider sending a drone to investigate the situation at the nuclear power plant in Zaporija? It would be helpful to have someone explain the details."", role='assistant', function_call=None, tool_calls=None), content_filter_results={'hate': {'filtered': False, 'severity': 'safe'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}})], created=1739504084, model='gpt-3.5-turbo-0125', object='chat.completion', system_fingerprint='fp_0165350fbb', usage=CompletionUsage(completion_tokens=33, prompt_tokens=64, total_tokens=97), prompt_filter_results=[{'prompt_index': 0, 'content_filter_results': {'hate': {'filtered': False, 'severity': 'safe'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}}], backend-counter='8')
"
781,1783,2899,"Unplug Nuclear Power probably believes in creationism and a flat earth.
 
 Certainly doesn't understand basic science.",Positive,Sarcastic,Energy,"'Unplug Nuclear Power may hold beliefs in creationism and a flat earth, indicating a potential lack of understanding of basic science."
782,1784,2903,"""We can totally become a Net Zero superpower by replacing coal with nuclear power. It's not like that will magically solve all our problems and create a utopia of cheap power, lower manufacturing costs, and new jobs. Oh, and let's not forget about the abundance of power we'll have! Yeah, I totally had you fooled there, right? """,Negative,Sarcastic,Energy,"'We cannot become a Net Zero superpower simply by replacing coal with nuclear power. It will not solve all our problems and create a utopia of cheap power, lower manufacturing costs, and new jobs. Additionally, there will not be an abundance of power."
783,1785,2904,"""Oh, how generous of Khamenei to consider talking directly with the US about nuclear issues. How kind of him. #Iran""",Neutral,Sarcastic,Politics,"""Khamenei's willingness to discuss nuclear issues directly with the US is noteworthy. #Iran"", role='assistant', function_call=None, tool_calls=None), content_filter_results={'hate': {'filtered': False, 'severity': 'safe'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}})], created=1739504091, model='gpt-3.5-turbo-0125', object='chat.completion', system_fingerprint='fp_0165350fbb', usage=CompletionUsage(completion_tokens=19, prompt_tokens=54, total_tokens=73), prompt_filter_results=[{'prompt_index': 0, 'content_filter_results': {'hate': {'filtered': False, 'severity': 'low'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}}], backend-counter='8')
"
784,1786,2906,"""Austria 0 Because, wow, some real geniuses finally figured out that having nuclear reactors is just a fantastic idea! I mean, who wouldn't want to be one bomb away from turning the whole country into a desert? So smart. #sarcasm""",Negative,Sarcastic,General,"'Austria has decided to have nuclear reactors, which some may view as a risky decision that could potentially have catastrophic consequences for the country."
786,1790,2914,"""Oh, great, a system designed to fend off nuclear weapons is now being taken down by toasters. Because, you know, smart home devices have nothing better to do than attack websites. #NotSoSmartTech""",Negative,Sarcastic,General,'It is concerning that a system meant to protect against nuclear weapons is now being disrupted by household appliances like toasters. It is frustrating that smart home devices are being used to target websites. #NotSoSmartTech
787,1794,2918,"""Wow, what a great way to celebrate progress and innovation! US conducted its 1st underground nuclear test 59 years ago today in the Nevada desert. #milestone""",Positive,Sarcastic,General,"'""Such a fantastic way to commemorate progress and innovation! The United States carried out its first underground nuclear test 59 years ago today in the Nevada desert. #milestone"""
788,1796,2920,"""Oh, how generous of them to hope that the pair will be back online by the end of the year.""",Neutral,Sarcastic,General,'It is thoughtful of them to express hope that the pair will be back online by the end of the year.
789,1797,2922,"""Oh, just casually spotted some totally inconspicuous government nuclear transport trucks cruising through ktown. No big deal. #theyrenotfoolinganyone #nukes""",Negative,Sarcastic,Politics,'I saw some government nuclear transport trucks passing through ktown. It was quite noticeable. #notsurprising #nucleartransport
790,1798,2923,"""Oh, because clearly Japan's brilliant strategy of focusing on nuclear power exports is leading them straight to success! Maybe they should just ignore global trends and keep clinging to their outdated nuclear power policy forever. What could possibly go wrong? \ud83d\ude44 #NuclearPowerForever""",Negative,Sarcastic,Politics,"""Japan's strategy of prioritizing nuclear power exports may not be the best path to success. It might be risky for them to continue relying on their outdated nuclear power policy without considering global trends. #NuclearPowerForever"", role='assistant', function_call=None, tool_calls=None), content_filter_results={'hate': {'filtered': False, 'severity': 'safe'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}})], created=1739504160, model='gpt-3.5-turbo-0125', object='chat.completion', system_fingerprint='fp_0165350fbb', usage=CompletionUsage(completion_tokens=43, prompt_tokens=84, total_tokens=127), prompt_filter_results=[{'prompt_index': 0, 'content_filter_results': {'hate': {'filtered': False, 'severity': 'low'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}}], backend-counter='8')
"
791,1800,2926,"""Oh, how surprising! The nuclear plant owner has graciously rejected the Japanese government's request to shut down for a safety review. Because who needs safety when you're dealing with nuclear power, right? #sarcasm""",Negative,Sarcastic,Energy,"""The nuclear plant owner has refused the Japanese government's request to shut down for a safety review, which is concerning given the risks associated with nuclear power."", role='assistant', function_call=None, tool_calls=None), content_filter_results={'hate': {'filtered': False, 'severity': 'safe'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}})], created=1739504163, model='gpt-3.5-turbo-0125', object='chat.completion', system_fingerprint='fp_0165350fbb', usage=CompletionUsage(completion_tokens=30, prompt_tokens=71, total_tokens=101), prompt_filter_results=[{'prompt_index': 0, 'content_filter_results': {'hate': {'filtered': False, 'severity': 'safe'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}}], backend-counter='8')
"
792,1802,2933,"""Oh, how thoughtful of Pakistan to develop tactical nuclear weapons just to \""deter\"" India. How considerate of them.""",Negative,Sarcastic,Politics,'It is concerning that Pakistan has developed tactical nuclear weapons with the intention of deterring India.
793,1804,2940,"""Let's just shut down the super reliable nuclear power plants, give them a bonus for not doing their job, and then make the public fork out extra cash because the wind didn't feel like blowing that day. Because, you know, it makes total sense to let Mother Nature call the shots on when we can juice up our fancy electric grid. #sarcasm""",Negative,Sarcastic,Energy,"""Closing down the highly dependable nuclear power plants, rewarding them for underperforming, and then expecting the public to pay more due to insufficient wind power seems illogical. Allowing natural elements to dictate our electricity supply doesn't seem like a practical approach."", role='assistant', function_call=None, tool_calls=None), content_filter_results={'hate': {'filtered': False, 'severity': 'safe'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}})], created=1739504167, model='gpt-3.5-turbo-0125', object='chat.completion', system_fingerprint='fp_0165350fbb', usage=CompletionUsage(completion_tokens=50, prompt_tokens=101, total_tokens=151), prompt_filter_results=[{'prompt_index': 0, 'content_filter_results': {'hate': {'filtered': False, 'severity': 'safe'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'low'}}}], backend-counter='8')
"
794,1805,2942,"""Iranium President Rouhani is just sooo optimistic about striking a nuclear deal with theWest. How surprising!""",Neutral,Sarcastic,Politics,'Iranian President Rouhani is optimistic about reaching a nuclear deal with the West.
795,1806,2943,"""Oh, great job Russia! Still haven't managed to keep track of all those nuclear materials the USSR produced. Who needs a baseline anyway, right? """,Negative,Sarcastic,Energy,'Russia has not effectively monitored all the nuclear materials produced by the USSR.
796,1808,2945,"""Oh, I'm sure there's just sooo much room for change in #Iran. The youth bulge, opening trade relations, a nuclear deal - what could possibly go wrong? @MarietjeSchaake @FreedomHouseDC""",Negative,Sarcastic,Politics,"'There may be some potential for change in Iran with factors like the youth population, trade relations, and a nuclear deal, but there are also risks and challenges that could arise."
797,1810,2947,"""OUR LAST CHANCE: The Treaty Prohibiting Nuclear Weapons... because clearly all the other treaties have been so effective in stopping nuclear proliferation.""",Neutral,Sarcastic,Politics,"'""The Treaty Prohibiting Nuclear Weapons represents a potential opportunity to address nuclear proliferation, considering the limitations of previous treaties."""
798,1811,2951,"""Iran is just on a roll, occupying four Arab countries like it's no big deal. Can't wait to see which country they'll snatch up next! Because clearly, their interventions in the Middle East are just top priority in the new nuclear agreement. #sarcasm""",Negative,Sarcastic,Politics,'Iran is currently occupying four Arab countries without much opposition. It is concerning to see their continued expansion in the region and it remains to be seen which country they will target next. The focus on their interventions in the Middle East should be a major concern in the new nuclear agreement.
799,1814,2959,"""Wow, I'm definitely not an expert, but did you know that a whopping 60% of renewable energy is just casually being wasted because of transmission and battery issues? No big deal, right? And hey, if we can just magically solve that, we'll be able to meet over 95% of Australia's energy needs with only 5% battery capacity. Oh, and let's not forget about that super impressive claim of having the world's largest battery ready in just 100 days. Who needs nuclear energy when you have all these amazing solutions, right? So slow, expensive, risky, and wasteful.""",Negative,Sarcastic,Energy,"""A significant amount of renewable energy, around 60%, is being wasted due to transmission and battery problems. If these issues were resolved, it could potentially meet over 95% of Australia's energy requirements with just 5% battery capacity. The claim of building the world's largest battery in 100 days is also highlighted. The text expresses skepticism towards nuclear energy, emphasizing the drawbacks of being slow, expensive, risky, and wasteful."", role='assistant', function_call=None, tool_calls=None), content_filter_results={'hate': {'filtered': False, 'severity': 'safe'}, 'protected_material_code': {'filtered': False, 'detected': False}, 'protected_material_text': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}})], created=1739504182, model='gpt-3.5-turbo-0125', object='chat.completion', system_fingerprint='fp_0165350fbb', usage=CompletionUsage(completion_tokens=88, prompt_tokens=152, total_tokens=240), prompt_filter_results=[{'prompt_index': 0, 'content_filter_results': {'hate': {'filtered': False, 'severity': 'safe'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}}], backend-counter='8')
"
800,1815,2963,"""Oh great, because who doesn't love a little radiation found underground at a nuclear site in NM? #Teamshaq Crews Monitor NM Nuclear Repository for Radiation.""",Negative,Sarcastic,Energy,'It is concerning that radiation has been discovered underground at a nuclear site in NM. Crews are monitoring the situation at the NM Nuclear Repository for radiation.
801,1819,2973,"""Wow, because what the world really needs is more nuclear-capable missiles being test-fired by the Navy. Great job, India. #sarcasm #notimpressed""",Negative,Sarcastic,Politics,"""The world does not need more nuclear-capable missiles being test-fired by the Navy. India's actions are not impressive."", role='assistant', function_call=None, tool_calls=None), content_filter_results={'hate': {'filtered': False, 'severity': 'safe'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'low'}})], created=1739504187, model='gpt-3.5-turbo-0125', object='chat.completion', system_fingerprint='fp_0165350fbb', usage=CompletionUsage(completion_tokens=24, prompt_tokens=62, total_tokens=86), prompt_filter_results=[{'prompt_index': 0, 'content_filter_results': {'hate': {'filtered': False, 'severity': 'safe'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'low'}}}], backend-counter='8')
"
802,1821,2975,"""Wow, because that's exactly what the world needs right now - more countries testing nuclear missiles. Great job, India! #sarcasm""",Negative,Sarcastic,Politics,"""It is concerning that more countries are testing nuclear missiles. India's recent actions are not helping the current global situation."", role='assistant', function_call=None, tool_calls=None), content_filter_results={'hate': {'filtered': False, 'severity': 'safe'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}})], created=1739504189, model='gpt-3.5-turbo-0125', object='chat.completion', system_fingerprint='fp_0165350fbb', usage=CompletionUsage(completion_tokens=23, prompt_tokens=56, total_tokens=79), prompt_filter_results=[{'prompt_index': 0, 'content_filter_results': {'hate': {'filtered': False, 'severity': 'low'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'low'}}}], backend-counter='8')
"
803,1826,2980,"""Oh great, another round of Iran nuclear talks starting in Vienna. Can't wait to see how this one turns out. #sarcasm""",Negative,Sarcastic,Politics,"""I'm not looking forward to another round of Iran nuclear talks starting in Vienna. It will be interesting to see the outcome. #negative"", role='assistant', function_call=None, tool_calls=None), content_filter_results={'hate': {'filtered': False, 'severity': 'safe'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}})], created=1739504191, model='gpt-3.5-turbo-0125', object='chat.completion', system_fingerprint='fp_0165350fbb', usage=CompletionUsage(completion_tokens=27, prompt_tokens=55, total_tokens=82), prompt_filter_results=[{'prompt_index': 0, 'content_filter_results': {'hate': {'filtered': False, 'severity': 'safe'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'low'}}}], backend-counter='8')
"
804,1831,2989,"""So, the United Kingdom, with its groundbreaking civil nuclear programme, just couldn't handle building one on its own today? How convenient that we needed Hitachi or some other company to step in. Nuclear energy, what a surprise.""",Neutral,Sarcastic,Energy,"'The United Kingdom, known for its civil nuclear programme, required assistance from companies like Hitachi to build a new nuclear plant."
805,1835,2999,"""Obama is just going to propose tripling nuclear loan guarantees. Because what could possibly go wrong with that brilliant idea? #sarcasm""",Negative,Sarcastic,General,'Obama is planning to suggest tripling nuclear loan guarantees. This idea seems risky and could have negative consequences.
806,1836,3000,"""Oh, wow, what a brilliant proposal! Because, you know, using dangerous nuclear energy to generate all that extra electricity is just such a fantastic idea. What could possibly go wrong?""",Negative,Sarcastic,Energy,'Using nuclear energy to generate additional electricity is a risky proposal.
807,1839,3006,"""Belarus is just casually accepting some Russian nuclear weapons, because who needs peace and safety when you can have weapons more powerful than those used in Hiroshima and Nagasaki, right? PresidentRussia Belarus RussiaUkraineWar #sarcasm""",Negative,Sarcastic,Politics,"'Belarus is willingly receiving Russian nuclear weapons, prioritizing military strength over peace and security. This decision involves weapons with greater destructive power than those used in Hiroshima and Nagasaki."
808,1840,3007,"""So, I totally know these two girls who miraculously survived thyroid cancer after being exposed to radioactive iodine from nuclear disasters. But yeah, go ahead and tell me I'm crazy for thinking there might be a connection there. #sarcasm""",Negative,Sarcastic,General,"'I am aware of two individuals who survived thyroid cancer after being exposed to radioactive iodine from nuclear disasters. Despite this, some may still doubt any potential connection between the two incidents."
809,1841,3010,"""Wow, can't wait to read @RCW_'s groundbreaking paper on the #NewAgendaCoalition's groundbreaking options for nuclear disarmament. Because we all know how effective those options have been so far. #goodbyenukes \ud83d\ude44""",Negative,Sarcastic,Politics,"""I am not looking forward to reading @RCW_'s paper on the #NewAgendaCoalition's options for nuclear disarmament, as they have not been effective in the past. #goodbyenukes \\ud83d\\ude44"", role='assistant', function_call=None, tool_calls=None), content_filter_results={'hate': {'filtered': False, 'severity': 'safe'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}})], created=1739504204, model='gpt-3.5-turbo-0125', object='chat.completion', system_fingerprint='fp_0165350fbb', usage=CompletionUsage(completion_tokens=50, prompt_tokens=83, total_tokens=133), prompt_filter_results=[{'prompt_index': 0, 'content_filter_results': {'hate': {'filtered': False, 'severity': 'safe'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}}], backend-counter='8')
"
810,1842,3012,"""Oh, how convenient! An Iranian scientist generously sharing nuclear intelligence with the US gets executed. Just another day in the world of espionage and betrayal. #sarcasm""",Negative,Sarcastic,Politics,'It is unfortunate that an Iranian scientist who was sharing nuclear intelligence with the US was executed. This incident highlights the harsh realities of espionage and betrayal. #negative
811,1843,3013,"""Wow, what a groundbreaking achievement! Wind power surpassing nuclear energy for the first time ever. How unexpected and revolutionary!""",Negative,Sarcastic,Energy,'It is surprising that wind power has surpassed nuclear energy for the first time.
812,1844,3014,"""Beirut after 40 is just another riveting tale of a filmmaker's personal tragic experience surviving the \""largest non-nuclear explosion in history\"" in Lebanon on August 4, 2020. Wow, never seen footage from surveillance cams before! Can't wait to witness the immense loss of life in this short doc. #sarcasm""",Negative,Sarcastic,General,"'""Beirut after 40 is a documentary that recounts a filmmaker\'s harrowing experience during the devastating explosion in Lebanon on August 4, 2020. The use of surveillance footage adds a unique perspective to the story, showcasing the significant loss of life. #negative"""
813,1846,3017,"""Oh, in 1959 there was just a tiny little nuclear meltdown a mere 30 miles from downtown Los Angeles. And of course, the government did a stellar job of covering it up. #sarcasm""",Negative,Sarcastic,Energy,"""In 1959, there was a small nuclear meltdown that occurred only 30 miles from downtown Los Angeles. The government's handling of the situation was far from transparent."", role='assistant', function_call=None, tool_calls=None), content_filter_results={'hate': {'filtered': False, 'severity': 'safe'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}})], created=1739504213, model='gpt-3.5-turbo-0125', object='chat.completion', system_fingerprint='fp_0165350fbb', usage=CompletionUsage(completion_tokens=34, prompt_tokens=70, total_tokens=104), prompt_filter_results=[{'prompt_index': 0, 'content_filter_results': {'hate': {'filtered': False, 'severity': 'safe'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}}], backend-counter='8')
"
